hour,covered_seconds,intervals_overlapped,covered_hours
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,70138.728,23,19.48298
4,70900.72799999999,31,19.694646666666664
5,177746.88,58,49.37413333333333
6,132137.968,43,36.704991111111106
7,110033.38399999999,34,30.564828888888886
8,90054.344,28,25.015095555555554
9,55544.312000000005,23,15.428975555555557
10,16349.432,6,4.541508888888889
11,4114.1359999999995,4,1.1428155555555555
12,30609.248,9,8.502568888888888
13,7734.9039999999995,4,2.1485844444444444
14,9797.944,3,2.721651111111111
15,1804.136,1,0.5011488888888889
16,5607.424,3,1.5576177777777778
17,3600.0,1,1.0
18,1260.0,1,0.35
19,0.0,0,0.0
20,0.0,0,0.0
21,0.0,0,0.0
22,0.0,0,0.0
23,0.0,0,0.0
