SerialNumber,M5003038,
Stop Mode,USB Stop,
Time Zone,UTC+0:00,
Date,Time,Deg C,Deg F,
9/7/2025,0:6:42,21.4,70.5,
9/7/2025,0:16:42,21.3,70.3,
9/7/2025,0:26:42,21.3,70.3,
9/7/2025,0:36:42,21.3,70.3,
9/7/2025,0:46:42,21.3,70.3,
9/7/2025,0:56:42,21.1,69.9,
9/7/2025,1:6:42,21.1,69.9,
9/7/2025,1:16:42,21.0,69.8,
9/7/2025,1:26:42,20.8,69.4,
9/7/2025,1:36:42,20.8,69.4,
9/7/2025,1:46:42,20.6,69.0,
9/7/2025,1:56:42,20.5,68.9,
9/7/2025,2:6:42,20.3,68.5,
9/7/2025,2:16:42,20.1,68.1,
9/7/2025,2:26:42,19.9,67.8,
9/7/2025,2:36:42,19.8,67.6,
9/7/2025,2:46:42,19.7,67.4,
9/7/2025,2:56:42,19.5,67.1,
9/7/2025,3:6:42,19.4,66.9,
9/7/2025,3:16:42,19.3,66.7,
9/7/2025,3:26:42,19.2,66.5,
9/7/2025,3:36:42,19.0,66.2,
9/7/2025,3:46:42,19.0,66.2,
9/7/2025,3:56:42,18.8,65.8,
9/7/2025,4:6:42,18.7,65.6,
9/7/2025,4:16:42,18.6,65.4,
9/7/2025,4:26:42,18.5,65.3,
9/7/2025,4:36:42,18.4,65.1,
9/7/2025,4:46:42,18.3,64.9,
9/7/2025,4:56:42,18.3,64.9,
9/7/2025,5:6:42,18.2,64.7,
9/7/2025,5:16:42,18.1,64.5,
9/7/2025,5:26:42,18.0,64.4,
9/7/2025,5:36:42,17.9,64.2,
9/7/2025,5:46:42,17.8,64.0,
9/7/2025,5:56:42,17.6,63.6,
9/7/2025,6:6:42,17.6,63.6,
9/7/2025,6:16:42,17.5,63.5,
9/7/2025,6:26:42,17.3,63.1,
9/7/2025,6:36:42,17.3,63.1,
9/7/2025,6:46:42,17.3,63.1,
9/7/2025,6:56:42,17.2,62.9,
9/7/2025,7:6:42,17.1,62.7,
9/7/2025,7:16:42,17.0,62.6,
9/7/2025,7:26:42,17.0,62.6,
9/7/2025,7:36:42,16.8,62.2,
9/7/2025,7:46:42,16.8,62.2,
9/7/2025,7:56:42,16.8,62.2,
9/7/2025,8:6:42,16.8,62.2,
9/7/2025,8:16:42,16.6,61.8,
9/7/2025,8:26:42,16.6,61.8,
9/7/2025,8:36:42,16.5,61.7,
9/7/2025,8:46:42,16.5,61.7,
9/7/2025,8:56:42,16.5,61.7,
9/7/2025,9:6:42,16.4,61.5,
9/7/2025,9:16:42,16.3,61.3,
9/7/2025,9:26:42,16.2,61.1,
9/7/2025,9:36:42,16.1,60.9,
9/7/2025,9:46:42,16.0,60.8,
9/7/2025,9:56:42,16.0,60.8,
9/7/2025,10:6:42,16.0,60.8,
9/7/2025,10:16:42,15.9,60.6,
9/7/2025,10:26:42,16.0,60.8,
9/7/2025,10:36:42,15.9,60.6,
9/7/2025,10:46:42,15.8,60.4,
9/7/2025,10:56:42,15.8,60.4,
9/7/2025,11:6:42,15.8,60.4,
9/7/2025,11:16:42,15.8,60.4,
9/7/2025,11:26:42,15.8,60.4,
9/7/2025,11:36:42,15.8,60.4,
9/7/2025,11:46:42,15.8,60.4,
9/7/2025,11:56:42,15.8,60.4,
9/7/2025,12:6:42,16.0,60.8,
9/7/2025,12:16:42,16.0,60.8,
9/7/2025,12:26:42,16.1,60.9,
9/7/2025,12:36:42,16.2,61.1,
9/7/2025,12:46:42,16.3,61.3,
9/7/2025,12:56:42,16.5,61.7,
9/7/2025,13:6:42,16.6,61.8,
9/7/2025,13:16:42,16.7,62.0,
9/7/2025,13:26:42,16.8,62.2,
9/7/2025,13:36:42,17.0,62.6,
9/7/2025,13:46:42,17.1,62.7,
9/7/2025,13:56:42,17.1,62.7,
9/7/2025,14:6:42,17.3,63.1,
9/7/2025,14:16:42,17.6,63.6,

