SerialNumber,M5003038,
Stop Mode,USB Stop,
Time Zone,UTC+0:00,
Date,Time,Deg C,Deg F,
13/8/2025,19:7:32,23.3,73.9,
13/8/2025,19:17:32,24.3,75.7,
13/8/2025,19:27:32,24.0,75.2,
13/8/2025,19:37:32,23.7,74.6,
13/8/2025,19:47:32,23.5,74.3,
13/8/2025,19:57:32,23.4,74.1,
13/8/2025,20:7:32,23.4,74.1,
13/8/2025,20:17:32,23.3,73.9,
13/8/2025,20:27:32,23.5,74.3,
13/8/2025,20:37:32,23.8,74.8,
13/8/2025,20:47:32,23.8,74.8,
13/8/2025,20:57:32,23.5,74.3,
13/8/2025,21:7:32,23.3,73.9,
13/8/2025,21:17:32,23.3,73.9,
13/8/2025,21:27:32,23.5,74.3,
13/8/2025,21:37:32,23.5,74.3,
13/8/2025,21:47:32,23.4,74.1,
13/8/2025,21:57:32,23.4,74.1,
13/8/2025,22:7:32,23.3,73.9,
13/8/2025,22:17:32,23.2,73.7,
13/8/2025,22:27:32,23.1,73.5,
13/8/2025,22:37:32,23.1,73.5,
13/8/2025,22:47:32,23.1,73.5,
13/8/2025,22:57:32,23.0,73.4,
13/8/2025,23:7:32,23.1,73.5,
13/8/2025,23:17:32,23.1,73.5,
13/8/2025,23:27:32,23.0,73.4,
13/8/2025,23:37:32,22.8,73.0,
13/8/2025,23:47:32,22.8,73.0,
13/8/2025,23:57:32,22.7,72.8,
14/8/2025,0:7:32,22.6,72.6,
14/8/2025,0:17:32,22.5,72.5,
14/8/2025,0:27:32,22.4,72.3,
14/8/2025,0:37:32,22.2,71.9,
14/8/2025,0:47:32,22.1,71.7,
14/8/2025,0:57:32,21.8,71.2,
14/8/2025,1:7:32,21.6,70.8,
14/8/2025,1:17:32,21.3,70.3,
14/8/2025,1:27:32,21.1,69.9,
14/8/2025,1:37:32,20.8,69.4,
14/8/2025,1:47:32,20.6,69.0,
14/8/2025,1:57:32,20.5,68.9,
14/8/2025,2:7:32,20.3,68.5,
14/8/2025,2:17:32,20.1,68.1,
14/8/2025,2:27:32,20.0,68.0,
14/8/2025,2:37:32,19.8,67.6,
14/8/2025,2:47:32,19.6,67.2,
14/8/2025,2:57:32,19.5,67.1,
14/8/2025,3:7:32,19.3,66.7,
14/8/2025,3:17:32,19.3,66.7,
14/8/2025,3:27:32,19.3,66.7,
14/8/2025,3:37:32,19.3,66.7,
14/8/2025,3:47:32,19.3,66.7,
14/8/2025,3:57:32,19.3,66.7,
14/8/2025,4:7:32,19.3,66.7,
14/8/2025,4:17:32,19.3,66.7,
14/8/2025,4:27:32,19.1,66.3,
14/8/2025,4:37:32,19.0,66.2,
14/8/2025,4:47:32,18.8,65.8,
14/8/2025,4:57:32,18.8,65.8,
14/8/2025,5:7:32,18.6,65.4,
14/8/2025,5:17:32,18.6,65.4,
14/8/2025,5:27:32,18.5,65.3,
14/8/2025,5:37:32,18.5,65.3,
14/8/2025,5:47:32,18.4,65.1,
14/8/2025,5:57:32,18.3,64.9,
14/8/2025,6:7:32,18.3,64.9,
14/8/2025,6:17:32,18.2,64.7,
14/8/2025,6:27:32,18.1,64.5,
14/8/2025,6:37:32,18.0,64.4,
14/8/2025,6:47:32,17.9,64.2,
14/8/2025,6:57:32,17.8,64.0,
14/8/2025,7:7:32,17.8,64.0,
14/8/2025,7:17:32,17.7,63.8,
14/8/2025,7:27:32,17.6,63.6,
14/8/2025,7:37:32,17.6,63.6,
14/8/2025,7:47:32,17.6,63.6,
14/8/2025,7:57:32,17.6,63.6,
14/8/2025,8:7:32,17.5,63.5,
14/8/2025,8:17:32,17.5,63.5,
14/8/2025,8:27:32,17.4,63.3,
14/8/2025,8:37:32,17.3,63.1,
14/8/2025,8:47:32,17.3,63.1,
14/8/2025,8:57:32,17.3,63.1,
14/8/2025,9:7:32,17.3,63.1,
14/8/2025,9:17:32,17.3,63.1,
14/8/2025,9:27:32,17.3,63.1,
14/8/2025,9:37:32,17.4,63.3,
14/8/2025,9:47:32,17.5,63.5,
14/8/2025,9:57:32,17.5,63.5,
14/8/2025,10:7:32,17.6,63.6,
14/8/2025,10:17:32,17.7,63.8,
14/8/2025,10:27:32,17.8,64.0,
14/8/2025,10:37:32,17.8,64.0,
14/8/2025,10:47:32,17.9,64.2,
14/8/2025,10:57:32,17.9,64.2,
14/8/2025,11:7:32,17.8,64.0,
14/8/2025,11:17:32,17.9,64.2,
14/8/2025,11:27:32,17.9,64.2,
14/8/2025,11:37:32,18.0,64.4,
14/8/2025,11:47:32,18.0,64.4,
14/8/2025,11:57:32,18.1,64.5,
14/8/2025,12:7:32,18.1,64.5,
14/8/2025,12:17:32,18.3,64.9,
14/8/2025,12:27:32,18.4,65.1,
14/8/2025,12:37:32,18.5,65.3,
14/8/2025,12:47:32,18.6,65.4,
14/8/2025,12:57:32,18.8,65.8,
14/8/2025,13:7:32,19.0,66.2,
14/8/2025,13:17:32,19.7,67.4,
14/8/2025,13:27:32,20.5,68.9,
14/8/2025,13:37:32,20.8,69.4,
14/8/2025,13:47:32,20.9,69.6,
14/8/2025,13:57:32,20.8,69.4,
14/8/2025,14:7:32,20.8,69.4,
