SerialNumber,M5003038,
Stop Mode,USB Stop,
Time Zone,UTC+0:00,
Date,Time,Deg C,Deg F,
23/8/2025,16:15:48,19.8,67.6,
23/8/2025,16:25:48,20.0,68.0,
23/8/2025,16:35:48,19.3,66.7,
23/8/2025,16:45:48,19.0,66.2,
23/8/2025,16:55:48,18.9,66.0,
23/8/2025,17:5:48,19.1,66.3,
23/8/2025,17:15:48,19.0,66.2,
23/8/2025,17:25:48,19.0,66.2,
23/8/2025,17:35:48,19.1,66.3,
23/8/2025,17:45:48,19.1,66.3,
23/8/2025,17:55:48,19.1,66.3,
23/8/2025,18:5:48,19.1,66.3,
23/8/2025,18:15:48,19.1,66.3,
23/8/2025,18:25:48,19.0,66.2,
23/8/2025,18:35:48,18.9,66.0,
23/8/2025,18:45:48,19.1,66.3,
23/8/2025,18:55:48,19.0,66.2,
23/8/2025,19:5:48,18.8,65.8,
23/8/2025,19:15:48,18.8,65.8,
23/8/2025,19:25:48,18.7,65.6,
23/8/2025,19:35:48,18.7,65.6,
23/8/2025,19:45:48,18.8,65.8,
23/8/2025,19:55:48,19.0,66.2,
23/8/2025,20:5:48,19.1,66.3,
23/8/2025,20:15:48,18.8,65.8,
23/8/2025,20:25:48,18.6,65.4,
23/8/2025,20:35:48,18.6,65.4,
23/8/2025,20:45:48,18.7,65.6,
23/8/2025,20:55:48,19.0,66.2,
23/8/2025,21:5:48,19.1,66.3,
23/8/2025,21:15:48,19.1,66.3,
23/8/2025,21:25:48,19.0,66.2,
23/8/2025,21:35:48,19.0,66.2,
23/8/2025,21:45:48,19.0,66.2,
23/8/2025,21:55:48,18.8,65.8,
23/8/2025,22:5:48,18.8,65.8,
23/8/2025,22:15:48,18.8,65.8,
23/8/2025,22:25:48,18.8,65.8,
23/8/2025,22:35:48,18.7,65.6,
23/8/2025,22:45:48,18.6,65.4,
23/8/2025,22:55:48,18.7,65.6,
23/8/2025,23:5:48,18.8,65.8,
23/8/2025,23:15:48,18.6,65.4,
23/8/2025,23:25:48,18.5,65.3,
23/8/2025,23:35:48,18.2,64.7,
23/8/2025,23:45:48,18.0,64.4,
23/8/2025,23:55:48,17.9,64.2,
24/8/2025,0:5:48,17.9,64.2,
24/8/2025,0:15:48,17.7,63.8,
24/8/2025,0:25:48,17.5,63.5,
24/8/2025,0:35:48,17.3,63.1,
24/8/2025,0:45:48,17.2,62.9,
24/8/2025,0:55:48,17.2,62.9,
24/8/2025,1:5:48,17.2,62.9,
24/8/2025,1:15:48,17.2,62.9,
24/8/2025,1:25:48,17.2,62.9,
24/8/2025,1:35:48,17.1,62.7,
24/8/2025,1:45:48,16.8,62.2,
24/8/2025,1:55:48,16.6,61.8,
24/8/2025,2:5:48,16.3,61.3,
24/8/2025,2:15:48,16.1,60.9,
24/8/2025,2:25:48,16.0,60.8,
24/8/2025,2:35:48,15.8,60.4,
24/8/2025,2:45:48,15.7,60.2,
24/8/2025,2:55:48,15.7,60.2,
24/8/2025,3:5:48,15.6,60.0,
24/8/2025,3:15:48,15.5,59.9,
24/8/2025,3:25:48,15.4,59.7,
24/8/2025,3:35:48,15.3,59.5,
24/8/2025,3:45:48,15.2,59.3,
24/8/2025,3:55:48,15.3,59.5,
24/8/2025,4:5:48,15.3,59.5,
24/8/2025,4:15:48,15.2,59.3,
24/8/2025,4:25:48,15.1,59.1,
24/8/2025,4:35:48,15.2,59.3,
24/8/2025,4:45:48,15.1,59.1,
24/8/2025,4:55:48,15.1,59.1,
24/8/2025,5:5:48,15.1,59.1,
24/8/2025,5:15:48,15.2,59.3,
24/8/2025,5:25:48,15.2,59.3,
24/8/2025,5:35:48,15.2,59.3,
24/8/2025,5:45:48,15.1,59.1,
24/8/2025,5:55:48,15.1,59.1,
24/8/2025,6:5:48,15.1,59.1,
24/8/2025,6:15:48,15.0,59.0,
24/8/2025,6:25:48,15.0,59.0,
24/8/2025,6:35:48,15.0,59.0,
24/8/2025,6:45:48,14.8,58.6,
24/8/2025,6:55:48,14.8,58.6,
24/8/2025,7:5:48,14.8,58.6,
24/8/2025,7:15:48,14.7,58.4,
24/8/2025,7:25:48,14.6,58.2,
24/8/2025,7:35:48,14.6,58.2,
24/8/2025,7:45:48,14.4,57.9,
24/8/2025,7:55:48,14.3,57.7,
24/8/2025,8:5:48,14.2,57.5,
24/8/2025,8:15:48,14.1,57.3,
24/8/2025,8:25:48,14.0,57.2,
24/8/2025,8:35:48,13.9,57.0,
24/8/2025,8:45:48,13.8,56.8,
24/8/2025,8:55:48,13.7,56.6,
24/8/2025,9:5:48,13.6,56.4,
24/8/2025,9:15:48,13.6,56.4,
