SerialNumber,M5003038,
Stop Mode,USB Stop,
Time Zone,UTC+0:00,
Date,Time,Deg C,Deg F,
17/7/2025,21:26:45,23.8,74.8,
17/7/2025,21:36:45,21.8,71.2,
17/7/2025,21:46:45,20.9,69.6,
17/7/2025,21:56:45,20.6,69.0,
17/7/2025,22:6:45,20.5,68.9,
17/7/2025,22:16:45,20.3,68.5,
17/7/2025,22:26:45,20.1,68.1,
17/7/2025,22:36:45,20.1,68.1,
17/7/2025,22:46:45,19.9,67.8,
17/7/2025,22:56:45,19.6,67.2,
17/7/2025,23:6:45,19.3,66.7,
17/7/2025,23:16:45,19.3,66.7,
17/7/2025,23:26:45,19.3,66.7,
17/7/2025,23:36:45,19.3,66.7,
17/7/2025,23:46:45,19.1,66.3,
17/7/2025,23:56:45,18.9,66.0,
18/7/2025,0:6:45,18.8,65.8,
18/7/2025,0:16:45,18.6,65.4,
18/7/2025,0:26:45,18.5,65.3,
18/7/2025,0:36:45,18.5,65.3,
18/7/2025,0:46:45,18.5,65.3,
18/7/2025,0:56:45,18.5,65.3,
18/7/2025,1:6:45,18.3,64.9,
18/7/2025,1:16:45,18.1,64.5,
18/7/2025,1:26:45,18.0,64.4,
18/7/2025,1:36:45,17.6,63.6,
18/7/2025,1:46:45,17.4,63.3,
18/7/2025,1:56:45,17.1,62.7,
18/7/2025,2:6:45,16.9,62.4,
18/7/2025,2:16:45,16.6,61.8,
18/7/2025,2:26:45,16.3,61.3,
18/7/2025,2:36:45,16.1,60.9,
18/7/2025,2:46:45,16.0,60.8,
18/7/2025,2:56:45,15.7,60.2,
18/7/2025,3:6:45,15.5,59.9,
18/7/2025,3:16:45,15.4,59.7,
18/7/2025,3:26:45,15.3,59.5,
18/7/2025,3:36:45,15.1,59.1,
18/7/2025,3:46:45,15.0,59.0,
18/7/2025,3:56:45,14.8,58.6,
18/7/2025,4:6:45,14.7,58.4,
18/7/2025,4:16:45,14.6,58.2,
18/7/2025,4:26:45,14.5,58.1,
18/7/2025,4:36:45,14.3,57.7,
18/7/2025,4:46:45,14.3,57.7,
18/7/2025,4:56:45,14.2,57.5,
18/7/2025,5:6:45,14.1,57.3,
18/7/2025,5:16:45,14.1,57.3,
18/7/2025,5:26:45,14.0,57.2,
18/7/2025,5:36:45,13.9,57.0,
18/7/2025,5:46:45,13.9,57.0,
18/7/2025,5:56:45,13.8,56.8,
18/7/2025,6:6:45,13.8,56.8,
18/7/2025,6:16:45,13.7,56.6,
18/7/2025,6:26:45,13.6,56.4,
18/7/2025,6:36:45,13.6,56.4,
18/7/2025,6:46:45,13.5,56.3,
18/7/2025,6:56:45,13.5,56.3,
18/7/2025,7:6:45,13.4,56.1,
18/7/2025,7:16:45,13.3,55.9,
18/7/2025,7:26:45,13.4,56.1,
18/7/2025,7:36:45,13.4,56.1,
18/7/2025,7:46:45,13.4,56.1,
18/7/2025,7:56:45,13.3,55.9,
18/7/2025,8:6:45,13.3,55.9,
18/7/2025,8:16:45,13.2,55.7,
18/7/2025,8:26:45,13.2,55.7,
18/7/2025,8:36:45,13.1,55.5,
18/7/2025,8:46:45,13.1,55.5,
18/7/2025,8:56:45,13.1,55.5,
18/7/2025,9:6:45,13.0,55.4,
18/7/2025,9:16:45,13.0,55.4,
18/7/2025,9:26:45,12.9,55.2,
18/7/2025,9:36:45,12.8,55.0,
18/7/2025,9:46:45,12.9,55.2,
18/7/2025,9:56:45,12.8,55.0,
18/7/2025,10:6:45,12.8,55.0,
18/7/2025,10:16:45,12.9,55.2,
18/7/2025,10:26:45,13.0,55.4,
18/7/2025,10:36:45,13.3,55.9,
18/7/2025,10:46:45,13.5,56.3,
18/7/2025,10:56:45,13.6,56.4,
18/7/2025,11:6:45,13.8,56.8,
18/7/2025,11:16:45,13.8,56.8,
18/7/2025,11:26:45,13.8,56.8,
18/7/2025,11:36:45,13.8,56.8,
18/7/2025,11:46:45,13.9,57.0,
18/7/2025,11:56:45,14.0,57.2,
18/7/2025,12:6:45,14.1,57.3,
18/7/2025,12:16:45,14.3,57.7,
18/7/2025,12:26:45,14.5,58.1,
18/7/2025,12:36:45,15.2,59.3,
18/7/2025,12:46:45,16.0,60.8,
18/7/2025,12:56:45,16.1,60.9,
18/7/2025,13:6:45,16.1,60.9,
18/7/2025,13:16:45,16.4,61.5,
18/7/2025,13:26:45,16.6,61.8,
18/7/2025,13:36:45,17.5,63.5,
18/7/2025,13:46:45,18.2,64.7,
18/7/2025,13:56:45,18.1,64.5,
18/7/2025,14:6:45,18.0,64.4,
18/7/2025,14:16:45,17.8,64.0,
18/7/2025,14:26:45,17.8,64.0,
18/7/2025,14:36:45,17.8,64.0,
