SerialNumber,M5003038,
Stop Mode,USB Stop,
Time Zone,UTC+0:00,
Date,Time,Deg C,Deg F,
5/9/2025,21:43:37,14.8,58.6,
5/9/2025,21:53:37,13.6,56.4,
5/9/2025,22:3:37,13.1,55.5,
5/9/2025,22:13:37,12.8,55.0,
5/9/2025,22:23:37,12.8,55.0,
5/9/2025,22:33:37,12.8,55.0,
5/9/2025,22:43:37,12.5,54.5,
5/9/2025,22:53:37,12.4,54.3,
5/9/2025,23:3:37,12.5,54.5,
5/9/2025,23:13:37,12.5,54.5,
5/9/2025,23:23:37,12.4,54.3,
5/9/2025,23:33:37,12.5,54.5,
5/9/2025,23:43:37,12.5,54.5,
5/9/2025,23:53:37,12.3,54.1,
6/9/2025,0:3:37,12.2,53.9,
6/9/2025,0:13:37,12.1,53.7,
6/9/2025,0:23:37,12.1,53.7,
6/9/2025,0:33:37,12.0,53.6,
6/9/2025,0:43:37,11.9,53.4,
6/9/2025,0:53:37,11.9,53.4,
6/9/2025,1:3:37,11.6,52.8,
6/9/2025,1:13:37,11.5,52.7,
6/9/2025,1:23:37,11.7,53.0,
6/9/2025,1:33:37,11.8,53.2,
6/9/2025,1:43:37,11.9,53.4,
6/9/2025,1:53:37,12.0,53.6,
6/9/2025,2:3:37,11.8,53.2,
6/9/2025,2:13:37,11.7,53.0,
6/9/2025,2:23:37,11.6,52.8,
6/9/2025,2:33:37,11.7,53.0,
6/9/2025,2:43:37,11.8,53.2,
6/9/2025,2:53:37,11.8,53.2,
6/9/2025,3:3:37,11.9,53.4,
6/9/2025,3:13:37,11.8,53.2,
6/9/2025,3:23:37,11.6,52.8,
6/9/2025,3:33:37,11.5,52.7,
6/9/2025,3:43:37,11.6,52.8,
6/9/2025,3:53:37,11.5,52.7,
6/9/2025,4:3:37,11.5,52.7,
6/9/2025,4:13:37,11.5,52.7,
6/9/2025,4:23:37,11.4,52.5,
6/9/2025,4:33:37,11.4,52.5,
6/9/2025,4:43:37,11.2,52.1,
6/9/2025,4:53:37,11.1,51.9,
6/9/2025,5:3:37,11.1,51.9,
6/9/2025,5:13:37,11.1,51.9,
6/9/2025,5:23:37,11.1,51.9,
6/9/2025,5:33:37,11.1,51.9,
6/9/2025,5:43:37,11.2,52.1,
6/9/2025,5:53:37,11.3,52.3,
6/9/2025,6:3:37,11.3,52.3,
6/9/2025,6:13:37,11.3,52.3,
6/9/2025,6:23:37,11.2,52.1,
6/9/2025,6:33:37,11.2,52.1,
6/9/2025,6:43:37,11.1,51.9,
6/9/2025,6:53:37,11.1,51.9,
6/9/2025,7:3:37,11.0,51.8,
6/9/2025,7:13:37,11.0,51.8,
6/9/2025,7:23:37,10.9,51.6,
6/9/2025,7:33:37,10.8,51.4,
6/9/2025,7:43:37,10.8,51.4,
6/9/2025,7:53:37,10.5,50.9,
6/9/2025,8:3:37,10.5,50.9,
6/9/2025,8:13:37,10.4,50.7,
6/9/2025,8:23:37,10.3,50.5,
6/9/2025,8:33:37,10.1,50.1,
6/9/2025,8:43:37,10.1,50.1,
6/9/2025,8:53:37,10.0,50.0,
6/9/2025,9:3:37,9.9,49.8,
6/9/2025,9:13:37,9.8,49.6,
6/9/2025,9:23:37,9.6,49.2,
6/9/2025,9:33:37,9.5,49.1,
6/9/2025,9:43:37,9.4,48.9,
6/9/2025,9:53:37,9.3,48.7,
6/9/2025,10:3:37,9.2,48.5,
6/9/2025,10:13:37,9.0,48.2,
6/9/2025,10:23:37,8.9,48.0,
6/9/2025,10:33:37,8.8,47.8,
6/9/2025,10:43:37,8.8,47.8,
6/9/2025,10:53:37,8.8,47.8,
6/9/2025,11:3:37,8.7,47.6,
6/9/2025,11:13:37,8.6,47.4,
6/9/2025,11:23:37,8.3,46.9,
6/9/2025,11:33:37,8.1,46.5,
6/9/2025,11:43:37,8.1,46.5,
6/9/2025,11:53:37,8.1,46.5,
6/9/2025,12:3:37,8.1,46.5,
6/9/2025,12:13:37,8.3,46.9,
6/9/2025,12:23:37,8.3,46.9,
6/9/2025,12:33:37,8.4,47.1,
6/9/2025,12:43:37,8.6,47.4,
6/9/2025,12:53:37,8.8,47.8,
6/9/2025,13:3:37,9.0,48.2,
6/9/2025,13:13:37,9.4,48.9,
6/9/2025,13:23:37,9.7,49.4,
6/9/2025,13:33:37,9.9,49.8,
6/9/2025,13:43:37,9.8,49.6,
6/9/2025,13:53:37,9.8,49.6,
6/9/2025,14:3:37,10.1,50.1,
6/9/2025,14:13:37,10.4,50.7,
6/9/2025,14:23:37,10.8,51.4,
6/9/2025,14:33:37,10.8,51.4,
6/9/2025,14:43:37,10.8,51.4,
6/9/2025,14:53:37,10.8,51.4,
6/9/2025,15:3:37,11.1,51.9,
6/9/2025,15:13:37,11.4,52.5,
6/9/2025,15:23:37,12.1,53.7,
